No,Tx Hash,Waktu (detik),Gas Used,Gas Price (gwei),Total Fee (MATIC)
1,0x79a7470185b9a9b5480088d3e4caf45f7a0915fa55d3c6a224c9f2f1701a6720,3.5950,307101,25.25000013,0.00775430028992313
2,0x6b7ab9f5227e9ce8f161671ea72467767d780b652ade07a4303f916aaedc0b3d,3.9240,307101,25.250000128,0.007754300289308928
3,0xb2a2ab1a3d78530a2583b74d85a6f285f471af4d6e3f347646ebfe462f2ad043,5.0190,307101,25.250000128,0.007754300289308928
4,0x44bca8a114c4b34c904a9a6547794c248f7172fa39fb9b7eddee7d5107bbb038,10.5310,307101,25.678577048,0.007885916690017848
5,0xc2eda59b24a3792370b615940b98ab7a506a51884d1a2827d2b234ca46eb99c4,7.4080,307101,25.750000135,0.007907850791458635
6,0x7d5c59cc02321f4a4236fbe120c226384227cf07d586e05eacdd2638d1727e80,4.8410,307101,25.25000013,0.00775430028992313
7,0x89bae270b717abd515321f0ebfdbe2c2b6744443e8ab1dfc485ce3c6becf4c5f,5.3850,307101,25.250000127,0.007754300289001827
8,0xb3c18161ebe3e49515354e0b6f097255f7e9ad92a71f0b26c811cfb95aa0fdc0,2.0210,307101,25.250000127,0.007754300289001827
9,0x00b64b5052b3b39dcb6ad83639ad815d8b3e3e8cc58f2cbb5365a27204e4688c,7.8940,307101,25.250000128,0.007754300289308928
10,0x3d480793291544f865a4eec9b91aa218925f9ccac34fa31d8a7f2f87ecf22759,4.0070,307101,25.250000126,0.007754300288694726
11,0x7fcd11b43a2510a5418082e64a1a94df7db40789ccff861f7358a408c37b7ebb,3.1140,307101,25.250000124,0.007754300288080524
12,0x6a37f67bcfa17c772743d53286a876c5b7312d1c2a8d84988d9b1f639991b815,4.5130,307101,25.250000124,0.007754300288080524
13,0xeb69af7987a844deef82d8eea219240bc460c2b2e9083d4c57a005f36438f584,7.4010,307101,25.250000125,0.007754300288387625
14,0x4f6cbb53e1944211370254b2ff128a699081916c588bc902b24be071628b3c31,17.8360,307101,25.250000125,0.007754300288387625
15,0x71ecf5cb732233de3d23c8a63c52e3d671a9a716f715ceccde0f42c28089e468,6.3970,307101,25.250000121,0.007754300287159221
16,0x2c3693c00ef8deaa418c5811cc562202ee26641b6885937ab37024147406f006,17.3490,307101,25.250077037,0.007754323908139737
17,0x1714a6b722ce4a6de0422cb0815a651c1c3255fc5e73642ae68510247125a740,15.1690,307101,25.250000126,0.007754300288694726
18,0x69a1595d5e9d9bfbd45842943595537c2109f16d75697e3f7caaeca81386dcd3,1.5400,307101,25.250000125,0.007754300288387625
19,0xd843c652ca262807d50ac5bceb6173fce639768fe13db6fa0b72b86c82794cd0,1.5610,307101,25.668304247,0.007882761902557947
20,0x557a3e9d02928d05f96ba99ef1fe00024eb4a8ced69dc89dadea266c444c1c3e,13.5630,307101,25.668304248,0.007882761902865048

STATISTIK
Total penerbitan,20
Berhasil,20
Gagal,0
Success Rate (%),100.00
Rata-rata waktu (detik),7.1534
Waktu tercepat (detik),1.5400
Waktu terlama (detik),17.8360
Rata-rata gas used,307101
Rata-rata total fee (MATIC),0.007781
